

Space Ship #1: Impulse Engine
--------------------------------------------

     0 Years                          0 Km    0.00%            25.000 Km/sec    0.00% Light
     1 Years             49,569,758,590 Km    0.01%         3,118.687 Km/sec    0.10% Light
     2 Years            196,702,231,359 Km    0.05%         6,212.375 Km/sec    0.21% Light
     3 Years            441,397,418,309 Km    0.11%         9,306.062 Km/sec    0.31% Light
     4 Years            783,655,319,438 Km    0.20%        12,399.750 Km/sec    0.41% Light
     5 Years          1,223,475,934,747 Km    0.31%        15,493.437 Km/sec    0.52% Light
     6 Years          1,760,859,264,235 Km    0.44%        18,587.125 Km/sec    0.62% Light
     7 Years          2,395,805,307,904 Km    0.60%        21,680.812 Km/sec    0.72% Light
     8 Years          3,128,314,065,752 Km    0.79%        24,774.500 Km/sec    0.83% Light
     9 Years          3,958,385,537,780 Km    1.00%        27,868.187 Km/sec    0.93% Light
    10 Years          4,886,019,723,987 Km    1.23%        30,961.875 Km/sec    1.03% Light
    11 Years          5,911,216,624,375 Km    1.49%        34,055.562 Km/sec    1.14% Light
    12 Years          7,033,976,238,942 Km    1.77%        37,149.250 Km/sec    1.24% Light
    13 Years          8,254,298,567,688 Km    2.08%        40,242.937 Km/sec    1.34% Light
    14 Years          9,572,183,610,615 Km    2.41%        43,336.625 Km/sec    1.44% Light
    15 Years         10,987,631,367,721 Km    2.77%        46,430.312 Km/sec    1.55% Light
    16 Years         12,500,641,839,007 Km    3.15%        49,524.000 Km/sec    1.65% Light
    17 Years         14,111,215,024,473 Km    3.55%        52,617.687 Km/sec    1.75% Light
    18 Years         15,819,350,924,119 Km    3.98%        55,711.375 Km/sec    1.86% Light
    19 Years         17,625,049,537,944 Km    4.44%        58,805.062 Km/sec    1.96% Light
    20 Years         19,528,310,865,949 Km    4.91%        61,898.750 Km/sec    2.06% Light
    21 Years         21,529,134,908,134 Km    5.42%        64,992.437 Km/sec    2.17% Light
    22 Years         23,627,521,664,498 Km    5.95%        68,086.125 Km/sec    2.27% Light
    23 Years         25,823,471,135,043 Km    6.50%        71,179.812 Km/sec    2.37% Light
    24 Years         28,116,983,319,767 Km    7.08%        74,273.500 Km/sec    2.48% Light
    25 Years         30,508,058,218,670 Km    7.68%        77,367.187 Km/sec    2.58% Light
    26 Years         32,996,695,831,754 Km    8.30%        80,460.875 Km/sec    2.68% Light
    27 Years         35,582,896,159,017 Km    8.95%        83,554.562 Km/sec    2.79% Light
    28 Years         38,266,659,200,460 Km    9.63%        86,648.250 Km/sec    2.89% Light
    29 Years         41,047,984,956,083 Km   10.33%        89,741.937 Km/sec    2.99% Light
    30 Years         43,926,873,425,885 Km   11.05%        92,835.625 Km/sec    3.09% Light
    31 Years         46,903,324,609,868 Km   11.80%        95,929.312 Km/sec    3.20% Light
    32 Years         49,977,338,508,030 Km   12.58%        99,023.000 Km/sec    3.30% Light
    33 Years         53,148,915,120,371 Km   13.38%       102,116.687 Km/sec    3.40% Light
    34 Years         56,418,054,446,893 Km   14.20%       105,210.375 Km/sec    3.51% Light
    35 Years         59,784,756,487,594 Km   15.05%       108,304.062 Km/sec    3.61% Light
    36 Years         63,249,021,242,475 Km   15.92%       111,397.749 Km/sec    3.71% Light
    37 Years         66,810,848,711,536 Km   16.81%       114,491.437 Km/sec    3.82% Light
    38 Years         70,470,238,894,776 Km   17.73%       117,585.124 Km/sec    3.92% Light
    39 Years         74,227,191,792,196 Km   18.68%       120,678.812 Km/sec    4.02% Light
    40 Years         78,081,707,403,796 Km   19.65%       123,772.499 Km/sec    4.13% Light
    41 Years         82,033,785,729,576 Km   20.65%       126,866.187 Km/sec    4.23% Light
    42 Years         86,083,426,769,535 Km   21.66%       129,959.874 Km/sec    4.33% Light
    43 Years         90,230,630,523,674 Km   22.71%       133,053.562 Km/sec    4.44% Light
    44 Years         94,475,396,991,993 Km   23.78%       136,147.249 Km/sec    4.54% Light
    45 Years         98,817,726,174,492 Km   24.87%       139,240.937 Km/sec    4.64% Light
    46 Years        103,257,618,071,170 Km   25.99%       142,334.624 Km/sec    4.74% Light
    47 Years        107,795,072,682,029 Km   27.13%       145,428.312 Km/sec    4.85% Light
    48 Years        112,430,090,007,066 Km   28.29%       148,521.999 Km/sec    4.95% Light
    49 Years        117,162,670,046,284 Km   29.49%       151,615.687 Km/sec    5.05% Light
    50 Years        121,992,812,799,681 Km   30.70%       154,709.374 Km/sec    5.16% Light
    51 Years        126,920,518,267,259 Km   31.94%       157,803.062 Km/sec    5.26% Light
    52 Years        131,945,786,449,015 Km   33.21%       160,896.749 Km/sec    5.36% Light
    53 Years        137,068,617,344,952 Km   34.50%       163,990.437 Km/sec    5.47% Light
    54 Years        142,289,010,955,068 Km   35.81%       167,084.124 Km/sec    5.57% Light
    55 Years        147,606,967,279,365 Km   37.15%       170,177.812 Km/sec    5.67% Light
    56 Years        153,022,486,317,840 Km   38.51%       173,271.499 Km/sec    5.78% Light
    57 Years        158,535,568,070,496 Km   39.90%       176,365.187 Km/sec    5.88% Light
    58 Years        164,146,212,537,331 Km   41.31%       179,458.874 Km/sec    5.98% Light
    59 Years        169,854,419,718,346 Km   42.75%       182,552.562 Km/sec    6.09% Light
    60 Years        175,660,189,613,541 Km   44.21%       185,646.249 Km/sec    6.19% Light
    61 Years        181,563,522,222,916 Km   45.69%       188,739.937 Km/sec    6.29% Light
    62 Years        187,564,417,546,470 Km   47.20%       191,833.624 Km/sec    6.39% Light
    63 Years        193,662,875,584,204 Km   48.74%       194,927.312 Km/sec    6.50% Light
    64 Years        199,858,896,336,118 Km   50.30%       198,020.999 Km/sec    6.60% Light
    65 Years        206,152,479,802,212 Km   51.88%       201,114.687 Km/sec    6.70% Light
    66 Years        212,543,625,982,485 Km   53.49%       204,208.374 Km/sec    6.81% Light
    67 Years        219,032,334,876,938 Km   55.12%       207,302.062 Km/sec    6.91% Light
    68 Years        225,618,606,485,571 Km   56.78%       210,395.749 Km/sec    7.01% Light
    69 Years        232,302,440,808,383 Km   58.46%       213,489.437 Km/sec    7.12% Light
    70 Years        239,083,837,845,376 Km   60.17%       216,583.124 Km/sec    7.22% Light
    71 Years        245,962,797,596,548 Km   61.90%       219,676.812 Km/sec    7.32% Light
    72 Years        252,939,320,061,900 Km   63.66%       222,770.499 Km/sec    7.43% Light
    73 Years        260,013,405,241,431 Km   65.44%       225,864.186 Km/sec    7.53% Light
    74 Years        267,185,053,135,142 Km   67.24%       228,957.874 Km/sec    7.63% Light
    75 Years        274,454,263,743,033 Km   69.07%       232,051.561 Km/sec    7.74% Light
    76 Years        281,821,037,065,104 Km   70.92%       235,145.249 Km/sec    7.84% Light
    77 Years        289,285,373,101,355 Km   72.80%       238,238.936 Km/sec    7.94% Light
    78 Years        296,847,271,851,785 Km   74.71%       241,332.624 Km/sec    8.04% Light
    79 Years        304,506,733,316,395 Km   76.63%       244,426.311 Km/sec    8.15% Light
    80 Years        312,263,757,495,185 Km   78.59%       247,519.999 Km/sec    8.25% Light
    81 Years        320,118,344,388,154 Km   80.56%       250,613.686 Km/sec    8.35% Light
    82 Years        328,070,493,995,303 Km   82.56%       253,707.374 Km/sec    8.46% Light
    83 Years        336,120,206,316,632 Km   84.59%       256,801.061 Km/sec    8.56% Light
    84 Years        344,267,481,352,141 Km   86.64%       259,894.749 Km/sec    8.66% Light
    85 Years        352,512,319,101,829 Km   88.72%       262,988.436 Km/sec    8.77% Light
    86 Years        360,854,719,565,698 Km   90.81%       266,082.124 Km/sec    8.87% Light
    87 Years        369,294,682,743,746 Km   92.94%       269,175.811 Km/sec    8.97% Light
    88 Years        377,832,208,635,973 Km   95.09%       272,269.499 Km/sec    9.08% Light
    89 Years        386,467,297,242,381 Km   97.26%       275,363.186 Km/sec    9.18% Light
    90 Years        395,199,948,562,968 Km   99.46%       278,456.874 Km/sec    9.28% Light
    90 Years        397,353,603,191,576 Km  100.00%       279,214.573 Km/sec    9.31% Light



Space Ship #2: Solar Sail
--------------------------------------------

Space Ship #2A: Solar Sail Acceleration Phase
     0 Years                          0 Km    0.00%           265.000 Km/sec    0.01% Light
     0 Years              1,001,957,763 Km  100.20%        34,344.940 Km/sec    1.14% Light

Space Ship #2B: Coasting Phase
     0 Years                          0 Km    0.00%        34,344.940 Km/sec    1.14% Light
     1 Years          1,083,104,088,536 Km    0.27%        34,344.940 Km/sec    1.14% Light
     2 Years          2,166,208,177,073 Km    0.55%        34,344.940 Km/sec    1.14% Light
     3 Years          3,249,312,265,609 Km    0.82%        34,344.940 Km/sec    1.14% Light
     4 Years          4,332,416,354,146 Km    1.09%        34,344.940 Km/sec    1.14% Light
     5 Years          5,415,520,442,682 Km    1.36%        34,344.940 Km/sec    1.14% Light
     6 Years          6,498,624,531,218 Km    1.64%        34,344.940 Km/sec    1.14% Light
     7 Years          7,581,728,619,755 Km    1.91%        34,344.940 Km/sec    1.14% Light
     8 Years          8,664,832,708,291 Km    2.18%        34,344.940 Km/sec    1.14% Light
     9 Years          9,747,936,796,828 Km    2.45%        34,344.940 Km/sec    1.14% Light
    10 Years         10,831,040,885,364 Km    2.73%        34,344.940 Km/sec    1.14% Light
    11 Years         11,914,144,973,900 Km    3.00%        34,344.940 Km/sec    1.14% Light
    12 Years         12,997,249,062,437 Km    3.27%        34,344.940 Km/sec    1.14% Light
    13 Years         14,080,353,150,973 Km    3.54%        34,344.940 Km/sec    1.14% Light
    14 Years         15,163,457,239,510 Km    3.82%        34,344.940 Km/sec    1.14% Light
    15 Years         16,246,561,328,046 Km    4.09%        34,344.940 Km/sec    1.14% Light
    16 Years         17,329,665,416,582 Km    4.36%        34,344.940 Km/sec    1.14% Light
    17 Years         18,412,769,505,119 Km    4.63%        34,344.940 Km/sec    1.14% Light
    18 Years         19,495,873,593,655 Km    4.91%        34,344.940 Km/sec    1.14% Light
    19 Years         20,578,977,682,192 Km    5.18%        34,344.940 Km/sec    1.14% Light
    20 Years         21,662,081,770,728 Km    5.45%        34,344.940 Km/sec    1.14% Light
    21 Years         22,745,185,859,264 Km    5.72%        34,344.940 Km/sec    1.14% Light
    22 Years         23,828,289,947,801 Km    6.00%        34,344.940 Km/sec    1.14% Light
    23 Years         24,911,394,036,337 Km    6.27%        34,344.940 Km/sec    1.14% Light
    24 Years         25,994,498,124,874 Km    6.54%        34,344.940 Km/sec    1.14% Light
    25 Years         27,077,602,213,410 Km    6.81%        34,344.940 Km/sec    1.14% Light
